שנה,מחוז,רשות,שם רשות,מספר משפחות מקבלות סיוע,סך הכל שימושים,מספר סל המענים בסוג סיוע איבזור הבית והתקנה,סך הכל הוצאה עבור איבזור הבית והתקנה בשח,מספר סל המענים בסוג סיוע ביגוד והנעלה,סך הכל הוצאה עבור ביגוד והנעלה בשח,מספר סל המענים בסוג סיוע הוצאה עבור בריאות,סך הכל הוצאה עבור בריאות בשח,מספר סל המענים בסוג סיוע חובות כספיים,סך הכל הוצאה עבור חובות כספיים בשח,מספר סל המענים בסוג סיוע חוגים,סך הכל הוצאה עבור חוגים בשח,מספר סל המענים בסוג סיוע חינוך והשכלה,סך הכל הוצאה עבור חינוך והשכלה בשח,מספר סל המענים בסוג סיוע מוצרי חשמל,סך הכל הוצאה עבור מוצרי חשמל בשח,מספר סל המענים בסוג סיוע מוצרים חריגים,סך הכל הוצאה עבור מוצרים חריגים בשח,מספר סל המענים בסוג סיוע ריהוט,סך הכל הוצאה עבור ריהוט בשח,מספר שונות,סך הכל הוצאה עבור שונות בשח,מספר סל המענים בסוג סיוע תעסוקה,סך הכל הוצאה עבור תעסוקה בשח,מספר סל המענים בסוג סיוע תחבורה,סך הכל הוצאה הסעה בשח,מספר סל המענים בסוג סיוע פעילות רשותית,סך הכל הוצאה פעילות רשותית בשח
2019,חיפה   והצפון                 ,520,אור עקיבא,229,2228797.37,135,153302.89,710,616591.93,199,250728.45,1121,1235418.35,259,259712.69,305,332142.26,451,515704.29,140,146882.27,361,516747.31,188,92523.23,411,522169.88,0,0,6,14139
2019,חיפה   והצפון                 ,521,בית  שאן,240,2456662.24,179,287494.11,365,376348.81,271,388082.97,541,736878.38,218,249651.84,313,350159.5,557,887146.68,155,195662.16,426,667446.96,175,215614.56,413,674331.11,0,0,0,12109
2019,חיפה   והצפון                 ,525,חצור,32,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,חיפה   והצפון                 ,526,טירת הכרמל,217,1709723.02,85,210082.09,261,371572.47,56,102962.08,119,201047.42,74,103486.3,127,183754.63,232,482586.82,60,103994,220,436966.11,20,78394,255,660940.55,0,0,0,10647
2019,חיפה   והצפון                 ,533,מגדל העמק,213,927680.2,142,191535.2,261,276659.78,113,137245,219,304451.46,172,155611.5,109,121479.5,402,684719.08,45,60421.2,497,810661.7,18,24932.9,317,654061.3,0,0,30,23900
2019,חיפה   והצפון                 ,535,נוף הגליל,349,3062237.04,181,221116.28,617,546599.35,196,282750.73,347,428514.27,131,160726.09,567,617551.9,613,850922.05,129,208628,608,821660.57,61,74785.25,881,1666160.34,0,0,0,12500
2019,חיפה   והצפון                 ,543,קרית ים,228,1145239.07,86,95175.45,624,565222.91,126,165714.33,146,158540.89,149,150154.54,399,389090.1,331,474615.57,165,195882.67,328,539047.83,175,119216.22,284,409209.76,0,0,2,27748
2019,חיפה   והצפון                 ,545,קרית שמונה,219,1075038.61,65,80975.36,528,396297.37,130,216471.41,126,174197.01,75,62230.41,287,241054.8,284,440474,38,42350,342,436940.98,44,63700,247,355979.37,0,0,1,0
2019,חיפה   והצפון                 ,550,מעלות-תרשיחא,572,3032725.24,163,221312.44,508,728971.59,481,698535.77,812,1049069.35,439,487682.65,658,728980.18,890,1438027.08,407,535881.65,585,988474.75,89,146426.81,1066,1932863.4,0,0,2,64464.56
2019,חיפה   והצפון                 ,552,כרמיאל,338,2590158.86,105,186656.64,351,494661.35,208,316765.1,670,1004275.32,216,250845.01,412,483692.68,397,652452.95,126,183322.92,421,690176.1,166,206861.9,553,917279.55,0,0,1,16324.4
2019,חיפה   והצפון                 ,563,הגלבוע,235,1902137,97,177809.2,377,423325.8,130,163433,148,226016.5,219,245743,211,280936.2,323,504772,76,111127,206,365648.5,28,35175,413,1128337,0,0,6,18516.8
2019,חיפה   והצפון                 ,572,מרום הגליל,180,734929.6,85,163333,105,108950.5,115,93038,140,212708,62,51934,75,49088.75,157,184664,134,125829.5,163,204044.25,39,48980,181,234719.25,0,0,1,17588
2019,חיפה   והצפון                 ,600,נצרת,572,2894951.58,236,479031.1,747,878573.78,272,421803.34,601,963689.9,295,394518,292,388030.64,916,1554572.1,254,396494,823,1615598.06,60,111142,839,2332858.64,0,0,6,57512
2019,חיפה   והצפון                 ,601,שפרעם,182,810034.28,67,166457.19,280,364273.19,73,154356,84,179928.38,71,124795.95,118,135910,229,499901.19,84,123410,332,569570,16,28900,251,655671.19,0,0,2,14360
2019,חיפה   והצפון                 ,620,אום אל פחם,942,5738254.34,319,709351.5,725,1009744.49,566,869005.09,543,978496.19,264,387399,519,797264.07,1042,1991816.74,106,184629.5,1112,2026629.27,217,354204,1069,2304631.83,0,0,15,30532.5
2019,חיפה   והצפון                 ,621,אכסאל,223,1648128.7,33,78455,220,376923.5,47,106085.6,97,224666,63,134105.25,70,145364.7,175,428323.9,22,51801.2,208,486224.75,41,33270,348,1016464,0,0,0,0
2019,חיפה   והצפון                 ,622,באקה אל-גרביה - גת,219,1624610,79,124301,634,550288.62,140,165738,230,424176,120,135543,494,533074,360,663708.31,99,185500,344,553506.86,17,21070,181,292097.31,0,0,7,25500
2019,חיפה   והצפון                 ,629,מג'אר,239,1396093.5,251,457108,366,289937,165,148010,178,228995,41,52170,349,195794,516,591945,33,36000,639,884710,26,26108,202,248067,12,6000,0,0
2019,חיפה   והצפון                 ,636,כפר קרע,240,1882220,92,195511,461,523779,96,153048,167,244558,168,198218,420,442914,408,798402,103,192190,398,747507,8,7350,331,730603,1,0,4,26260
2019,חיפה   והצפון                 ,638,אעבלין,236,1566245.38,263,526798.41,123,237863.32,71,152108.91,190,418051.37,101,153404.91,233,416177.41,321,671749.91,67,126466.41,224,449563.91,32,67825,331,925674,0,0,3,17100
2019,חיפה   והצפון                 ,639,מג'ד-אל-כרום,239,1560301.74,106,284624,147,248912,131,253130.5,83,170018,42,101518.5,129,226192.58,219,480455,17,37521,206,468954.58,18,35880,352,960850.5,0,0,0,0
2019,חיפה   והצפון                 ,640,מג'ד אל שאמס,224,1527790,156,369365.2,309,369830.4,164,247289,137,247924.5,107,138267.2,216,282044.6,346,634623.2,56,99720,210,462857.1,39,91297.3,526,1437597.3,0,0,2,8300
2019,חיפה   והצפון                 ,641,עין מאהל,233,1769489,58,136161,199,306864,89,147103,117,200779.5,83,95524,135,167600,191,340607.5,55,78484.5,136,255772.5,36,119300,364,940291.5,0,0,1,6500
2019,חיפה   והצפון                 ,642,ירכא,228,1233452.5,141,166990.5,533,361742.5,153,118134.5,357,348413,172,128698.5,346,284094.5,448,493343,198,235266.5,348,336608.5,158,89064.5,428,467992.5,0,0,4,32680
2019,חיפה   והצפון                 ,643,סח'נין,347,2472299,268,426403,398,462160,199,228743,303,410202,554,449723,398,487193,699,1100214,102,160475,601,991632,63,62399,1593,2373911,0,0,60,62686
2019,חיפה   והצפון                 ,644,עראבה,171,952790,113,216075,212,298335,122,254380,151,321155,117,157060,109,197385,409,757540,33,60730,435,863990,17,46455,227,530595,0,0,0,0
2019,חיפה   והצפון                 ,647,בועינה-נג'דאת,236,1311125.33,79,142894,462,575734.61,142,312299.5,102,196834,63,109474.63,214,376199,228,408832.13,85,174520,212,376296.63,20,34445,480,1310934.63,0,0,0,17095
2019,חיפה   והצפון                 ,648,נחף,191,1296047.4,69,120839.17,269,408510.77,78,157556,169,332233.77,26,35005,148,191835,216,419091,27,41521,252,547251.39,27,73569,331,931656,0,0,1,1000
2019,חיפה   והצפון                 ,649,מכאר-ג'דידה,232,1099488,87,177050,408,481310,136,259862.14,246,415587.42,123,151563,183,299033,244,462145,19,33375,278,487702.57,36,47893.57,407,948998,0,0,3,5275
2019,חיפה   והצפון                 ,651,ריינה,236,2000520.7,90,104140,351,442230.7,119,206550,190,236829.2,85,116256.3,232,248668.3,432,651470.9,99,151391.5,373,586880.3,62,55680,950,1779417.4,0,0,6,22800
2019,חיפה   והצפון                 ,654,כפר מנדא,228,2163010,235,448102,467,536318,120,168777,162,222398,140,161710,308,415807,468,777575,50,66210,613,1053532,66,110957,401,817214,1,1500,1,3000
2019,חיפה   והצפון                 ,657,יפיע,238,2065486,67,123335.96,582,570716.16,81,105028.6,136,214413.1,96,121808,314,306026.1,292,503533.36,234,328198.7,272,478752.26,21,40450,585,1377474.36,0,0,1,50080
2019,חיפה   והצפון                 ,662,מ.מ  כאבול,238,1613680,76,160791,134,243097,79,166411,91,193417,33,34730,74,102688,260,635263,60,114015,258,538121,28,68743,318,803904,0,0,1,13000
2019,חיפה   והצפון                 ,663,דיר אל-אסד,56,51900,39,1100,124,15200,42,1000,92,1000,57,1100,71,3800,121,5900,30,1000,88,5000,20,0,137,8800,0,0,0,0
2019,חיפה   והצפון                 ,664,ערערה,214,1181439.62,176,288169,265,296580.2,103,117202,183,209376,97,108242,348,329888,576,923907.5,62,73843.66,404,621152.5,124,158049,214,279231.5,0,0,0,1500
2019,חיפה   והצפון                 ,665,דיר חנא,180,1234790,61,103600,158,246900,109,189390,109,219480,81,105710,138,250640,415,817680,34,62600,299,668520,22,42990,385,879490,0,0,4,11600
2019,חיפה   והצפון                 ,666,ביר אל מכסור,240,1525054,330,422884,276,320319.2,109,158394.4,134,225067.3,94,148538.9,175,197225.6,480,905595.1,65,111410.9,569,980930,23,34387.2,339,728064.4,0,0,8,16600
2019,חיפה   והצפון                 ,667,כפר כנא,238,1864950,427,1065740,189,363860,95,183050,152,344600,53,98650,180,327100,358,700150,197,327600,232,402690,25,43410,436,1041300,0,0,3,37500
2019,חיפה   והצפון                 ,668,בענה,54,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,חיפה   והצפון                 ,669,שעב,239,1905310,75,151560,312,373450,128,267880,118,177160,73,108600,201,269900,207,357450,42,83600,201,387160,24,44660,230,551440,0,0,2,11400
2019,חיפה   והצפון                 ,672,עילוט,56,73992,1,1709,3,4600,2,14000,3,4300,0,0,0,0,5,13509,0,0,5,14255,0,0,5,8664,0,0,0,0
2019,חיפה   והצפון                 ,675,מעלה עירון / זלפה,232,2029161.4,141,419768.16,482,546064.35,204,387513.81,249,482638.94,90,156230.87,260,305111,241,517800.27,159,408708.76,256,498098.16,38,58958.86,365,806601.3,0,0,1,63591.5
2019,חיפה   והצפון                 ,677,אל-בטוף,215,1368850,146,366274,219,255288,114,192700,214,381566,80,127470,145,196466,232,413820,215,325847,316,613601,56,95580,357,879068,0,0,1,42100
2019,חיפה   והצפון                 ,690,אבו סנאן,222,1360953.45,119,326679,361,406054.8,295,313116.97,278,514856.28,238,240461.8,252,254689.46,391,631391.09,121,135840,272,445169.3,117,192724.83,402,696804.97,0,0,19,36540.8
2019,חיפה   והצפון                 ,692,טורעאן,235,1745737,134,346473,262,307161,116,240959,116,251414,167,191667,342,451008,165,325617,51,100486,168,378465,34,90719,418,1102771,0,0,0,0
2019,חיפה   והצפון                 ,693,דאלית אל-כרמל,230,1709913.14,81,134214.36,352,406657.86,134,219638.6,218,368963.82,53,65311.36,377,480029.36,153,220144.1,56,79563.1,203,317466,21,38977,234,393878.2,0,0,4,19080
2019,ירושלים                       ,101,אשקלון,668,4027841.74,316,405379.95,1784,1615385.61,559,649079.82,2354,2835600.12,805,765598.12,802,756041.09,1231,1757109.17,380,419774.8,1189,1879114.69,199,226031.01,1035,1560694.92,4,2464,11,38830
2019,ירושלים                       ,103,ירושלים,1547,8245232.51,381,788625.42,1227,2003381.42,860,1343498.85,1798,3272616.55,587,786924.94,990,1442724.16,1414,2955951.93,470,648671.46,1019,2088881.75,196,331524.4,2566,5279702.65,2,3613,52,87541.2
2019,ירושלים                       ,104,אשדוד,1424,9548708.97,403,701542.74,1464,1927456.1,689,1116195.84,2502,3764938.59,578,718587.13,1158,1781877.17,1893,3375209.61,251,422509.32,1906,3658944.64,256,421360.51,1515,3274733.25,4,8751,6,33432.8
2019,ירושלים                       ,121,בית שמש,358,2300095.79,267,304131.18,1019,918150.6,456,533452.34,1178,1559179.31,240,278192.14,582,595678.39,776,1226654.91,213,303029.1,936,1603534.15,157,205340.25,730,1185167.89,0,0,18,43697.2
2019,ירושלים                       ,129,קרית מלאכי,209,1111562.35,118,72494.69,524,410559.74,235,230734.66,312,371075.91,121,118603.32,129,123874.73,427,483779.22,81,86731.98,575,827644.04,69,49157.3,494,536870.08,0,0,2,2550
2019,ירושלים                       ,140,מעלה אדומים,232,1561177.72,120,228000.5,330,369404.91,254,317395.3,719,1310342.79,110,142337.2,175,215178.56,319,560634.25,71,83283.51,288,591738.7,36,79283.5,271,437704.2,0,0,1,3822
2019,ירושלים                       ,146,ביתר עילית,213,1686009.3,88,146638.19,360,385986.16,189,276386.71,306,393890.15,83,152719.87,179,296111.45,286,632337.92,84,155402.68,288,569298.38,49,84805.2,542,1164758.49,0,0,2,5723.5
2019,ירושלים                       ,147,מודיעין  עילית,260,1843888.74,117,167732.77,331,395091.79,299,343817.9,239,370528.48,117,137671.4,226,240695.36,445,718849.18,415,452031.8,421,789269.54,76,148042.3,678,1127421.42,0,0,0,61715.4
2019,ירושלים                       ,178,מטה בנימין,221,2088857.8,114,325390.64,105,172212.99,220,497632.79,228,564565.1,54,129865,58,112067.7,263,534056.6,34,56636.6,194,423719.69,40,152255,229,597191.29,0,0,1,3000
2019,תל אביב והמרכז                ,300,בני ברק,879,5431091.43,249,565423.51,534,1019791.63,567,942798.32,937,1468220.02,359,506603.82,623,853898.65,1401,2733069.91,320,500302.8,1256,2596388.25,120,200754.9,1450,3542313.07,0,0,0,43777
2019,תל אביב והמרכז                ,301,בת ים,648,3146287.14,317,407107.92,1108,1007400.33,657,1062695.82,1203,1802344.68,475,510330.25,834,806218.7,883,1407388.64,343,445077.97,861,1425407.1,131,151550.59,926,1736183.88,0,0,18,80109
2019,תל אביב והמרכז                ,304,חולון,515,1674121,214,350445,716,856302,469,785061,1006,1765550.5,352,479993,531,774037,631,1205744,271,425865,588,1087451,92,205657.5,744,1797271,0,0,16,79112
2019,תל אביב והמרכז                ,306,לוד,565,2268840.4,180,352438.71,1068,984266.9,491,643645.61,575,989430.01,498,496360.39,495,569781.64,826,1336527.76,116,219913.3,701,1160209.79,40,60013.5,981,1593687.77,3,2520,1,8902.5
2019,תל אביב והמרכז                ,307,נתניה,1059,5480728.38,206,457835.9,478,855701.8,478,997924.63,630,1219512.31,440,647756.89,466,670236.14,767,1595536.79,180,354690.3,875,1866878.37,124,235918.06,1371,3173433.05,0,0,12,42232.5
2019,תל אביב והמרכז                ,311,רמלה,583,2844348.82,154,317313.2,768,1039141.58,312,417255.06,924,1578906.9,148,263896.99,459,433886.32,584,1139202.75,156,193406.45,585,1234432.13,91,140823.65,700,1705495.57,0,0,9,32123.2
2019,תל אביב והמרכז                ,313,תל אביב,588,3872846.95,297,383804.28,1712,1330277.89,540,654537.89,1005,1280086.06,685,694345.76,670,583841.59,806,1156748.46,242,325161.33,847,1259553.28,339,219748.4,762,1136657.86,0,0,0,29428.5
2019,תל אביב והמרכז                ,329,יבנה,186,1223024.42,48,88392.24,174,246057.04,119,221718.24,193,404655.82,67,96337.74,93,148593.84,305,521549.16,88,166761.24,202,403878.6,79,195754,359,892752.68,0,0,0,23323
2019,תל אביב והמרכז                ,345,בני עיש,223,2234786.32,96,136056.27,239,301711.6,186,322686.38,568,853117.13,161,240828.7,194,287596.32,310,552492.66,214,314578.71,363,665049.35,49,78775.22,488,929754.5,0,0,0,40936
2019,תל אביב והמרכז                ,347,אור יהודה,191,529835.36,95,129422.49,411,354213.39,180,271774.51,557,768649.67,137,142545.66,166,179925.62,230,298713.79,138,181825.88,246,394162.28,44,57934.71,276,342893.8,0,0,5,26854
2019,תל אביב והמרכז                ,366,אלעד,232,1854070.3,121,121253.67,1147,821961.7,386,307433.12,374,427106.09,298,259366.27,399,332689.01,494,552298.46,104,107607.02,500,793875.72,79,94972,468,665201.63,0,0,1,10106
2019,תל אביב והמרכז                ,377,שומרון,184,726715.69,108,188644,156,216371.58,240,268966.5,324,537741.8,70,109162.31,108,112188.36,217,308628.33,49,77137,184,316628.75,26,34661,301,515382.39,0,0,3,6800
2019,תל אביב והמרכז                ,421,טייבה,348,1980365,193,396631,612,726820.99,135,238410.6,459,580355,70,97428.96,575,698517.74,538,929302.64,136,151343.39,358,649176.39,50,71403.28,401,731323.21,0,0,0,3860
2019,תל אביב והמרכז                ,422,טירה,224,1373502.16,282,603897.15,256,362304.76,149,250986.27,310,469884.08,98,110680.96,165,206182,359,638599.7,135,202595.96,370,641675.15,66,108392.93,190,305954,0,0,0,26163
2019,תל אביב והמרכז                ,424,כפר קאסם,238,1650009,224,388159,388,480708.5,146,262653,323,560229,89,120447,323,353863.5,425,741282.5,48,91094,378,697949,70,107338,303,644339,2,2800,1,7355
2019,תל אביב והמרכז                ,425,קלנסווה,210,1468500,154,282807,196,298813,86,174994.4,205,447622.8,205,274762,130,199952,354,683503,65,138594.4,427,866044,57,136691.4,343,997720,0,0,1,12630
2020,דרום                          ,100,אילת,187,2014817.65,37,78892.58,166,324505.16,74,110282.08,159,277720.58,30,41519.66,50,66308.6,108,215128.92,15,14356.5,163,298340.07,322,513758.9,24,55546.5,0,0,8,22173
2020,דרום                          ,102,באר שבע,1591,7493252.37,255,307088.54,936,1238573.45,453,536794.81,975,1292793.84,466,578564.68,786,978048.77,823,1004233.37,251,320158.82,680,867001.61,303,349171.18,899,1117738.82,0,0,9,13200
2020,דרום                          ,105,דימונה,515,1692813.56,114,128782.76,463,487314.78,137,151367.75,356,341024.93,305,306293.96,125,126172.18,330,343692.21,101,96810.55,339,345702.61,163,163724.64,278,291414.46,0,0,15,22002.15
2020,דרום                          ,106,קרית גת,478,3629602.02,157,162114.53,504,573812.84,184,210827.04,448,501713.32,219,262658.04,384,432085.32,621,715894.56,136,137622.34,559,648500.23,128,121036.22,614,703700.29,0,0,9,7292.01
2020,דרום                          ,120,אופקים,198,880602.95,31,32287.4,129,138696.48,35,41762.58,118,146867.98,38,37687.66,59,56392.4,43,54582.9,17,17853,69,81265.16,220,258424.72,16,13990.67,0,0,2,792
2020,דרום                          ,123,ירוחם,306,1528755.23,101,95566.38,348,389247.59,140,169144.09,261,301529.8,134,163318.7,290,350669.55,361,424563.8,67,81778.69,233,247804.5,117,127867.21,369,424522.51,0,0,5,4804.7
2020,דרום                          ,125,נתיבות,193,1203593.45,34,44176.56,154,203415.84,44,41571,106,118944.18,55,72986.44,153,210484.14,110,165942.74,41,52693.94,93,121026.64,27,39261.21,133,169980.86,0,0,5,8624.5
2020,דרום                          ,127,שדרות,125,183276,15,14710,20,16325,14,16939,34,38521,10,8500,11,8510,18,11668,9,6480,25,21044,10,7883,34,32776,0,0,0,0
2020,דרום                          ,130,ערד,313,1552403.93,83,83156.71,281,285486.56,99,102841.21,278,233768.93,148,137014.81,186,179835.7,246,236015.57,73,66789.6,325,282404.99,88,82761.41,292,272683.04,0,0,5,5461
2020,דרום                          ,221,רהט,556,2519956.87,65,105046.17,211,311041.5,131,191050.17,228,333938.67,80,115882.5,157,201505.34,243,345631.67,64,88716.67,249,344793.84,65,96315,271,386035.34,0,0,0,0
2020,דרום                          ,222,תל שבע,125,911381.4,26,34852,84,114205.6,39,51488.6,73,105382.4,29,51463,38,46857.6,93,127706.4,22,24439.6,86,109886.6,39,62431,117,180468.6,0,0,2,2200
2020,דרום                          ,240,ערערה- הנגב,196,617550,30,22200,115,82200,33,29100,92,65100,39,36350,79,65350,121,109100,24,15500,88,64550,39,34000,120,94100,0,0,0,0
2020,דרום                          ,241,לקייה,191,879170,29,31250,142,153330,34,42350,134,147650,41,44400,91,94800,76,74850,38,40590,82,89250,47,55550,90,104650,1,500,0,0
2020,דרום                          ,242,חורה,219,425755,11,19820,32,36267.5,23,31545,38,48592.5,25,37425,22,39642.5,39,59092.5,16,27750,44,60460,26,24395,29,40765,0,0,0,0
2020,דרום                          ,243,שגב שלום,195,1693785.86,52,90347.61,85,139013.11,96,138362.92,109,186852.91,66,93056.07,63,94680.82,181,284616.38,54,81424.06,198,300130.97,38,51787.98,157,234533.03,0,0,0,0
2020,דרום                          ,244,כסייפא,91,13400,0,0,1,500,1,1200,1,700,0,0,2,1900,2,1700,0,0,5,3500,2,1200,3,2700,0,0,0,0
2020,דרום                          ,245,אל קסום,162,719392.69,3,3890,75,92148.39,34,43484.42,89,108825.17,26,26903.81,47,68791.36,51,70199.06,11,15251.92,56,79112.42,135,186026.14,17,24760,0,0,0,0
2020,דרום                          ,246,נווה מדבר,211,645330,16,21370,88,109850,20,30830,56,67210,26,31560,62,77700,56,72110,18,18420,63,84770,40,47430,60,82960,0,0,2,2400
2020,חיפה   והצפון                 ,500,חדרה,349,2740228.14,75,102981.37,235,284746.78,140,164917.37,305,367891.11,135,153700.62,115,158620.84,272,351348.24,101,127264.46,238,289275.64,264,342246.86,288,365360.75,0,0,2,1227
